Designator,Mid X,Mid Y,Rotation,Layer
C1,243.03,-30.63,90.0,top
C10,233.43,-28.86275,90.0,top
C11,223.74,-31.4,180.0,top
C12,235.65,-36.02,0.0,top
C13,223.71,-35.95,180.0,top
C14,231.35,-41.49,270.0,top
C15,234.74,-31.67,0.0,top
C16,234.74,-30.67,0.0,top
C17,138.81,-39.64,0.0,top
C18,69.96011,-80.045422,90.0,top
C19,97.80011,-80.045422,90.0,top
C2,237.825,-30.62,90.0,top
C20,123.32011,-90.875422,90.0,top
C21,138.32011,-140.875422,90.0,top
C22,156.86011,-80.045422,90.0,top
C23,182.38011,-69.215422,90.0,top
C24,210.2,-69.19,90.0,top
C25,238.06011,-69.215422,90.0,top
C26,152.99011,-109.815422,90.0,top
C27,178.51011,-98.985422,90.0,top
C28,206.35011,-98.985422,90.0,top
C29,234.19011,-98.985422,90.0,top
C3,226.460589,-43.159411,225.0,top
C30,160.78011,-50.275422,90.0,top
C31,196.30011,-41.545422,90.0,top
C32,182.38011,-137.375422,90.0,top
C33,241.439982,-154.785668,90.0,top
C34,248.839982,-154.785668,90.0,top
C35,256.239982,-154.785668,90.0,top
C36,263.64017,-154.785668,90.0,top
C4,231.269411,-43.439411,315.0,top
C5,223.65,-22.72,0.0,top
C6,228.27,-27.52,90.0,top
C7,232.37,-41.48,270.0,top
C8,232.41,-28.87275,90.0,top
C9,229.29,-27.52,90.0,top
D1,67.81011,-80.045422,0.0,top
D10,176.36011,-98.985422,0.0,top
D11,204.20011,-98.985422,0.0,top
D12,232.04011,-98.985422,0.0,top
D13,158.63011,-50.275422,0.0,top
D14,194.15011,-41.545422,0.0,top
D15,180.23011,-137.375422,0.0,top
D16,237.739982,-154.785668,0.0,top
D17,245.139982,-154.785668,0.0,top
D18,252.539982,-154.785668,0.0,top
D19,259.939982,-154.785668,0.0,top
D2,95.65011,-80.045422,0.0,top
D20,237.14,-26.45,270.0,top
D3,121.17011,-90.875422,0.0,top
D4,136.17011,-140.875422,0.0,top
D5,154.71011,-80.045422,0.0,top
D6,180.23011,-69.215422,0.0,top
D7,208.05,-69.19,0.0,top
D8,235.91011,-69.215422,0.0,top
D9,150.84011,-109.815422,0.0,top
DS1,99.640373,-40.059766,0.0,top
F1,137.28,-31.45,0.0,top
R1,229.35,-21.26,90.0,top
R10,136.35,-36.34,0.0,top
R11,239.17,-26.01,270.0,top
R2,241.33,-21.26,270.0,top
R3,219.3,-31.23,90.0,top
R4,213.64,-24.37,180.0,top
R5,229.788198,-41.948198,315.0,top
R6,230.31,-28.55275,90.0,top
R7,231.37,-28.55275,270.0,top
R8,131.839996,-31.98,270.0,top
R9,133.839996,-31.98,90.0,top
SW1,41.839943,-29.310027,90.0,top
SW10,208.07011,-64.285422,0.0,top
SW11,235.91011,-64.285422,0.0,top
SW12,150.84011,-104.885422,0.0,top
SW13,176.36011,-94.055422,0.0,top
SW14,204.20011,-94.055422,0.0,top
SW15,232.04011,-94.055422,0.0,top
SW16,158.58011,-45.345422,0.0,top
SW17,194.15011,-36.615422,0.0,top
SW18,180.23011,-132.445422,0.0,top
SW19,212.74,-45.2375,270.0,top
SW2,57.389943,-29.310027,90.0,top
SW20,219.6,-45.2375,90.0,top
SW21,282.089642,-63.170678,90.0,top
SW22,282.089642,-79.170428,90.0,top
SW23,282.089642,-97.170428,90.0,top
SW24,127.95,-37.8,0.0,top
SW3,72.939943,-29.310027,90.0,top
SW4,67.81011,-75.115422,0.0,top
SW5,95.65011,-75.115422,0.0,top
SW6,121.17011,-85.945422,0.0,top
SW7,136.17011,-135.945422,0.0,top
SW8,154.71011,-75.115422,0.0,top
SW9,180.23011,-64.285422,0.0,top
U1,240.3875,-30.15,0.0,top
U2,219.91,-26.275,270.0,top
U3,229.635,-34.725,0.0,top
U4,139.4625,-37.29,0.0,top
USB1,235.339738,-20.854,180.0,top
USB2,132.839996,-27.96,180.0,top
Y1,229.009964,-44.312045,315.0,top
